Name,Frequency,Mode
Mendota 462.550 · 91.5 Hz,462.550,FM
Lakeside 462.550 · DCS 364,462.550,FM
Santa Paula 462.550 · 74.4 Hz,462.550,FM
Arcadia 462.550 · 103.5 Hz,462.550,FM
Laytonville 462.550 · 136.5 Hz,462.550,FM
Groveland 462.550,462.550,FM
Apple Valley 462.550,462.550,FM
Shaver 462.550 · 103.5 Hz,462.550,FM
Weaverville 462.550 · 118.8 Hz,462.550,FM
Newberry springs 462.550 · 88.5 Hz,462.550,FM
Coalinga 462.575 · 186.2 Hz,462.575,FM
Topanga 462.575 · 74.4 Hz,462.575,FM
Fresno 462.575 · DCS 025,462.575,FM
Auberry 462.575 · 91.5 Hz,462.575,FM
Sonora 462.575,462.575,FM
Pittsburg 462.575,462.575,FM
Weaverville 462.575 · 118.8 Hz,462.575,FM
Weed 462.575 · DCS 606,462.575,FM
Porterville 462.575 · 136.5 Hz,462.575,FM
Johnson Valley 462.575 · 141.3 Hz,462.575,FM
San Jose 462.575,462.575,FM
Sunol 462.600,462.600,FM
Oakland 462.600,462.600,FM
South Lake Tahoe 462.600,462.600,FM
Paso Robles 462.600 · 110.9 Hz,462.600,FM
Visalia 462.600 · 69.3 Hz,462.600,FM
Chino 462.600 · 85.4 Hz,462.600,FM
Moccasin 462.600,462.600,FM
Ventura 462.600 · 100.0 Hz,462.600,FM
Bassett 462.600,462.600,FM
Tulare 462.600 · 123.0 Hz,462.600,FM
Big Bear City 462.600 · 88.5 Hz,462.600,FM
Rio Dell 462.600 · 196.6 Hz,462.600,FM
Newman 462.600 · 136.5 Hz,462.600,FM
Idyllwild 462.600 · 156.7 Hz,462.600,FM
Los Gatos 462.625 · 141.3 Hz,462.625,FM
Madera 462.625,462.625,FM
Yreka 462.625 · 141.3 Hz,462.625,FM
Arroyo Grande 462.625 · 141.3 Hz,462.625,FM
Redding 462.625,462.625,FM
San Francisco 462.625 · 103.5 Hz,462.625,FM
Strawberry / Pinecrest Lake 462.625,462.625,FM
Yucca Valley 462.625,462.625,FM
San Pedro 462.625 · 136.5 Hz,462.625,FM
Helendale 462.625 · 179.9 Hz,462.625,FM
Grenada 462.625 · 100.0 Hz,462.625,FM
Turlock  462.625 · 141.3 Hz,462.625,FM
Hemet 462.650,462.650,FM
Pleasant Hill 462.650 · 91.5 Hz,462.650,FM
Bakersfield 462.650 · DCS 116,462.650,FM
Woodside 462.650 · 94.8 Hz,462.650,FM
Indio 462.650 · DCS 072,462.650,FM
Redlands 462.650 · 67.0 Hz,462.650,FM
Quartz Hill 462.650 · 179.9 Hz,462.650,FM
Calico 462.650 · 77.0 Hz,462.650,FM
Los Angeles 462.675 · 151.4 Hz,462.675,FM
Paso Robles 462.675 · 141.3 Hz,462.675,FM
Fort Jones 462.675 · 141.3 Hz,462.675,FM
San Francisco 462.675 · 88.5 Hz,462.675,FM
Upperlake 462.675 · 179.9 Hz,462.675,FM
San Jose 462.675 · DCS 311,462.675,FM
Visalia 462.675 · 103.5 Hz,462.675,FM
Ridgecrest 462.675,462.675,FM
Modesto 462.675,462.675,FM
Delano 462.675 · 85.4 Hz,462.675,FM
Santa Cruz 462.675 · 94.8 Hz,462.675,FM
Glendale 462.700,462.700,FM
Lemoore 462.700 · 146.2 Hz,462.700,FM
Burney 462.700,462.700,FM
Visalia 462.700 · 103.5 Hz,462.700,FM
Banning 462.700,462.700,FM
Rosamond 462.700 · 141.3 Hz,462.700,FM
Fresno 462.700 · 192.8 Hz,462.700,FM
Modesto 462.725,462.725,FM
Orangevale 462.725,462.725,FM
Farmersville/Visalia 462.725 · 100.0 Hz,462.725,FM
Tuolumne city 462.725,462.725,FM
Yucca Valley 462.725 · 225.7 Hz,462.725,FM
Calico 462.725 · 88.5 Hz,462.725,FM
Escondido 462.725 · DCS 065,462.725,FM
Delano 462.725 · 85.4 Hz,462.725,FM
Helendale 462.725 · 141.3 Hz,462.725,FM
Corralitos 462.725 · 250.3 Hz,462.725,FM
Los Altos 462.725,462.725,FM
