Name,Frequency,Mode
GMRS01,462.562500,FM
GMRS02,462.587500,FM
GMRS03,462.612500,FM
GMRS04,462.637500,FM
GMRS05,462.662500,FM
GMRS06,462.687500,FM
GMRS07,462.712500,FM
GMRS08,467.562500,FM
GMRS09,467.587500,FM
GMRS10,467.612500,FM
GMRS11,467.637500,FM
GMRS12,467.662500,FM
GMRS13,467.687500,FM
GMRS14,467.712500,FM
GMRS15,462.550000,FM
GMRS16,462.575000,FM
GMRS17,462.600000,FM
GMRS18,462.625000,FM
GMRS19,462.650000,FM
GMRS20,462.675000,FM
GMRS21,462.700000,FM
GMRS22,462.725000,FM
GMR15R,462.550000,FM
GMR16R,462.575000,FM
GMR17R,462.600000,FM
GMR18R,462.625000,FM
GMR19R,462.650000,FM
GMR20R,462.675000,FM
GMR21R,462.700000,FM
GMR22R,462.725000,FM
D4WCOMM,462.675000,FM
RUBICON,462.625000,FM
PLEASHL,462.650000,FM
PITTSBG,462.575000,FM
SUNOL,462.600000,FM
OAKLND,462.600000,FM
SANJOSE,462.575000,FM
SANJOSE2,462.675000,FM
LOSGTOS,462.625000,FM
SFO,462.625000,FM
SFO2,462.675000,FM
WOODSDE,462.650000,FM
SCRUZ,462.675000,FM
CORRAL,462.725000,FM
LOSALTOS,462.725000,FM
MODESTO,462.675000,FM
MODESTO2,462.725000,FM
ORNGVAL,462.725000,FM
SLTAHOE,462.600000,FM
TURLOCK,462.625000,FM
SONORA,462.575000,FM
MOCCASIN,462.600000,FM
GROVLD,462.550000,FM
PINECR,462.625000,FM
PASOROBL,462.600000,FM
PASOROB2,462.675000,FM
MADERA,462.625000,FM
AUBERRY,462.575000,FM
FRESNO,462.575000,FM
FRESNO2,462.700000,FM
COALINGA,462.575000,FM
SHAVER,462.550000,FM
TULARE,462.600000,FM
NEWMAN,462.600000,FM
DELANO,462.675000,FM
DELANO2,462.725000,FM
MENDOTA,462.550000,FM
VENTURA,462.600000,FM
REDDING,462.625000,FM
GRENADA,462.625000,FM
LEMOORE,462.700000,FM
RIODELL,462.600000,FM
REDLANDS,462.650000,FM
ROSAMOND,462.700000,FM
IDYLLWIL,462.600000,FM
HELENDAL,462.625000,FM
HELENDA2,462.725000,FM
WEED,462.575000,FM
PORTERVI,462.575000,FM
BAKERSFI,462.650000,FM
INDIO,462.650000,FM
QUARTZHI,462.650000,FM
APPLEVAL,462.550000,FM
YUCCAVAL,462.625000,FM
HEMET,462.650000,FM
BURNEY,462.700000,FM
YUCCAVA2,462.725000,FM
ARCADIA,462.550000,FM
CALICO,462.650000,FM
YREKA,462.625000,FM
ARROYOGR,462.625000,FM
VISALIA,462.675000,FM
VISALIA2,462.700000,FM
TOPANGA,462.575000,FM
GLENDALE,462.700000,FM
LOSANGEL,462.675000,FM
FORTJONE,462.675000,FM
CALICO2,462.725000,FM
UPPERLAK,462.675000,FM
CHINO,462.600000,FM
SANPEDRO,462.625000,FM
LAKESIDE,462.550000,FM
BASSETT,462.600000,FM
WEAVERVI,462.550000,FM
WEAVERV2,462.575000,FM
VISALIA3,462.600000,FM
ESCONDID,462.725000,FM
SANTAPAU,462.550000,FM
BIGBEARC,462.600000,FM
FARMERSV,462.725000,FM
BANNING,462.700000,FM
RIDGECRE,462.675000,FM
TUOLUMNE,462.725000,FM
NEWBERRY,462.550000,FM
LAYTONVI,462.550000,FM
JOHNSONV,462.575000,FM
CF CMD1,151.355000,NFM
CF CMD2,151.265000,NFM
CF CMD3,151.340000,NFM
CF CMD4,151.400000,NFM
CF CMD5,151.460000,NFM
CF CMD6,151.250000,NFM
CF CMD7,151.325000,NFM
CF CMD8,151.445000,NFM
CF CMD9,151.370000,NFM
CF TAC1,151.160000,NFM
CF TAC2,151.190000,NFM
CF TAC3,151.250000,NFM
CF TAC4,151.280000,NFM
CF TAC5,151.310000,NFM
CF TAC6,151.340000,NFM
AIRGRD,168.625000,NFM
NIFC FF,168.650000,NFM
USFS N,168.725000,NFM
USFS S,168.200000,NFM
V FIRE21,154.280000,NFM
V FIRE22,154.265000,NFM
V FIRE23,154.295000,NFM
V CALL10,155.752500,NFM
V TAC11,151.137500,NFM
V TAC12,154.452500,NFM
V TAC13,158.737500,NFM
V TAC14,159.472500,NFM
SAR155,155.160000,NFM
AIR1215,121.500000,AM
AIR1228,122.800000,AM
AIR12275,122.750000,AM
AIR12345,123.450000,AM
BUCH TWR,119.700000,AM
BUCH ATI,124.700000,AM
LVK CTAF,118.100000,AM
OAK TWR,118.300000,AM
SFO TWR,120.500000,AM
SJC TWR,124.000000,AM
MRY TWR,118.400000,AM
SAC TWR,119.500000,AM
MHR TWR,127.250000,AM
TVL CTAF,122.950000,AM
NORCAL,125.350000,AM
AAR036,160.650000,NFM
AAR042,160.740000,NFM
AAR052,160.890000,NFM
AAR054,160.920000,NFM
AAR058,160.980000,NFM
AAR066,161.100000,NFM
AAR072,161.190000,NFM
AAR074,161.220000,NFM
AAR078,161.280000,NFM
AAR084,161.370000,NFM
146520,146.520000,FM
446000,446.000000,FM
RUBI444,444.987500,FM
RUBILNK,444.987500,FM
805MAIN,146.805000,FM
805TAHO,145.350000,FM
HCONCORD,444.875000,FM
HWALNUTC,443.825000,FM
HOAKLND,444.800000,FM
HSFO,444.925000,FM
HHMBAY,147.285000,FM
HPACIFIC,443.175000,FM
HLOSGTOS,444.975000,FM
HSCRUZ,446.600000,FM
HMONTERY,444.525000,FM
HSAC,444.425000,FM
HAUBURN,444.950000,FM
HPLACRVL,442.475000,FM
MURS1,151.820000,NFM
MURS2,151.880000,NFM
LOCAL01,462.675000,FM
LOCAL02,462.675000,FM
LOCAL03,462.675000,FM
LOCAL04,462.675000,FM
LOCAL05,462.675000,FM
LOCAL06,462.675000,FM
LOCAL07,462.675000,FM
LOCAL08,462.675000,FM
LOCAL09,462.675000,FM
LOCAL10,462.675000,FM
