Name,Frequency,Mode
GMRS 01,462.562500,FM
GMRS 02,462.587500,FM
GMRS 03,462.612500,FM
GMRS 04,462.637500,FM
GMRS 05,462.662500,FM
GMRS 06,462.687500,FM
GMRS 07,462.712500,FM
GMRS 08,467.562500,NFM
GMRS 09,467.587500,NFM
GMRS 10,467.612500,NFM
GMRS 11,467.637500,NFM
GMRS 12,467.662500,NFM
GMRS 13,467.687500,NFM
GMRS 14,467.712500,NFM
GMRS 15,462.550000,FM
GMRS 16,462.575000,FM
GMRS 17,462.600000,FM
GMRS 18,462.625000,FM
GMRS 19,462.650000,FM
GMRS 20,462.675000,FM
GMRS 21,462.700000,FM
GMRS 22,462.725000,FM
RPT 15,462.550000,FM
RPT 16,462.575000,FM
RPT 17,462.600000,FM
RPT 18,462.625000,FM
RPT 19,462.650000,FM
RPT 20,462.675000,FM
RPT 21,462.700000,FM
RPT 22,462.725000,FM
PHILL650,462.650000,FM
SF625,462.625000,FM
SF675,462.675000,FM
WOOD650,462.650000,FM
LGTOS625,462.625000,FM
SJ575,462.575000,FM
SJ675D,462.675000,FM
SCZ675,462.675000,FM
CORRAL725,462.725000,FM
NEWMN600,462.600000,FM
MODEST675,462.675000,FM
TURLO625,462.625000,FM
ORANGE725,462.725000,FM
PITTS575,462.575000,FM
OAK600,462.600000,FM
SUNOL600,462.600000,FM
SLTAH600,462.600000,FM
RUBI625,462.625000,FM
RUBI625B,462.625000,FM
TRACY600,462.600000,FM
HOLL625,462.625000,FM
HMB650,462.650000,FM
MONTR675,462.675000,FM
SAC675,462.675000,FM
AUB625,462.625000,FM
PLAC650,462.650000,FM
TRAIL16,462.575000,FM
TRAIL17,462.600000,FM
TRAIL18,462.625000,FM
TRAIL20,462.675000,FM
TRAIL22,462.725000,FM
HAM14652,146.520000,FM
HAM14655,146.550000,FM
HAM14658,146.580000,FM
HAM44600,446.000000,FM
HAM44650,446.500000,FM
RUB444,444.987500,FM
RUB444L,444.987500,FM
805MAIN,146.805000,FM
805TAHOE,145.350000,FM
WX162400,162.400000,NFM
WX162425,162.425000,NFM
WX162450,162.450000,NFM
WX162475,162.475000,NFM
WX162500,162.500000,NFM
WX162525,162.525000,NFM
WX162550,162.550000,NFM
AIR1215,121.500000,AM
BUCHTWR,119.700000,AM
OAKTWR,118.300000,AM
SFOAPP,120.900000,AM
SACTWR,119.500000,AM
SNSATIS,119.475000,AM
MRYTWR,118.400000,AM
HWDCTAF,120.200000,AM
LVKCTAF,118.100000,AM
HAFCTAF,122.800000,AM
MURS1,151.820000,NFM
MURS2,151.880000,NFM
MURS3,151.940000,NFM
MURS4,154.570000,NFM
MURS5,154.600000,NFM
MAR16,156.800000,NFM
MAR09,156.450000,NFM
MAR22A,157.100000,NFM
MAR68,156.425000,NFM
MAR69,156.475000,NFM
MAR71,156.575000,NFM
AAR36,160.650000,NFM
AAR42,160.740000,NFM
AAR50,160.860000,NFM
AAR54,160.920000,NFM
AAR66,161.100000,NFM
AAR72,161.190000,NFM
VLAW31,155.475000,NFM
VFIRE21,154.280000,NFM
VFIRE22,154.265000,NFM
VFIRE23,154.295000,NFM
UCALL40,453.212500,NFM
UTAC41,453.462500,NFM
UTAC42,453.712500,NFM
UTAC43,453.862500,NFM
SPARE1,462.675000,FM
SPARE2,462.675000,FM
SPARE3,462.675000,FM
SPARE4,462.675000,FM
SPARE5,462.675000,FM
SPARE6,462.675000,FM
SPARE7,462.675000,FM
SPARE8,462.675000,FM
SPARE9,462.675000,FM
SPARE10,462.675000,FM
