Name,Frequency,Mode
CHP AMB B,42.080000,FM
CHP AMB M,42.820000,FM
CHP AQUA B,42.620000,FM
CHP AQUA M,42.840000,FM
CHP BRNZ B,42.120000,FM
CHP BRNZ M,42.400000,FM
CHP EMR B,44.800000,FM
CHP EMR M,42.480000,FM
CHP GRAP B,42.420000,FM
CHP GRAP M,42.660000,FM
CHP KHAKI B,44.940000,FM
CHP KHAKI M,42.780000,FM
CHP MAR B,42.920000,FM
CHP MAR M,42.740000,FM
CHP PINK B,42.440000,FM
CHP PINK M,42.760000,FM
CHP RUBY B,42.500000,FM
CHP RUBY M,42.280000,FM
CHP TURQ B,42.600000,FM
CHP TURQ M,42.020000,FM
CHP VIOL B,42.160000,FM
CHP VIOL M,42.640000,FM
CHP UHF4,453.850000,NFM
SRV CMD1,153.995000,NFM
SRV DISP1,460.575000,NFM
SRV DISP2,453.425000,NFM
SRV TAC25,458.312500,NFM
SRV TAC26,458.712500,NFM
SRV TAC27,458.075000,NFM
ALCO VTAC4,154.070000,NFM
ALCO VTAC5,154.235000,NFM
VFIRE21,154.280000,NFM
VFIRE22,154.265000,NFM
VFIRE23,154.295000,NFM
VFIRE24,154.272500,NFM
VFIRE25,154.287500,NFM
VTAC11,151.137500,NFM
VTAC12,154.452500,NFM
VTAC13,158.737500,NFM
VTAC14,159.472500,NFM
CALCORD,156.075000,NFM
CDF CMD1,151.355000,NFM
CDF CMD2,151.265000,NFM
CDF CMD3,151.340000,NFM
CDF CMD4,151.400000,NFM
CDF CMD5,151.325000,NFM
CDF CMD6,151.250000,NFM
CDF CMD7,151.460000,NFM
CDF CMD8,151.445000,NFM
CDF TAC1,151.145000,NFM
CDF TAC2,151.160000,NFM
CDF TAC3,151.175000,NFM
CDF TAC4,151.190000,NFM
CDF TAC5,151.220000,NFM
CDF TAC6,151.235000,NFM
CDF TAC7,151.130000,NFM
CDF TAC8,151.370000,NFM
CDF TAC9,151.272500,NFM
CDF TAC10,151.287500,NFM
CDF A/G1,151.220000,NFM
CDF A/G2,159.270000,NFM
CDF A/G3,159.300000,NFM
CDF A/G4,159.345000,NFM
AIR GUARD,121.500000,AM
LVK ATIS,119.650000,AM
LVK GROUND,121.600000,AM
LVK TWR1,118.100000,AM
LVK TWR2,128.200000,AM
HWD ATIS,126.700000,AM
HWD GROUND,121.400000,AM
HWD TWR1,120.200000,AM
HWD TWR2,118.900000,AM
OAK ATIS,133.775000,AM
OAK CLR,121.100000,AM
OAK N GND,121.900000,AM
OAK S GND,121.750000,AM
OAK N TWR,118.300000,AM
OAK TWR ALT,124.900000,AM
OAK S TWR,127.200000,AM
NORCAL C1,120.900000,AM
NORCAL C2,125.350000,AM
NORCAL C3,135.100000,AM
NORCAL C4,134.500000,AM
MIL GUARD,243.000000,AM
SUU CP VHF,141.900000,AM
SUU CP UHF,349.400000,AM
SUU METRO,271.100000,AM
SUU PILOT,342.500000,AM
SUU A-A1,138.875000,AM
SUU A-A2,139.925000,AM
SUU TANKER,256.650000,AM
SUU ATIS,135.550000,AM
SUU GROUND,121.800000,AM
SUU TOWER,120.750000,AM
SUU RADAR1,132.100000,AM
SUU RADAR2,294.700000,AM
SUU RADAR3,318.100000,AM
SUU RADAR4,339.100000,AM
MOF ATIS,124.175000,AM
MOF GROUND,121.850000,AM
MOF TOWER,119.550000,AM
MOF APP1,120.100000,AM
MOF APP2,135.200000,AM
MOF DEP,121.300000,AM
MOF TWR U,259.650000,AM
MOF GND U,278.950000,AM
MOF METRO,341.300000,AM
USCG AIR,345.000000,AM
MARINE 06,156.300000,FM
MARINE 09,156.450000,FM
VTS 12,156.600000,FM
BRIDGE 13,156.650000,FM
VTS 14,156.700000,FM
MARINE 16,156.800000,FM
USCG 21A,157.050000,FM
USCG 22A,157.100000,FM
USCG 23A,157.150000,FM
MARINE 68,156.425000,FM
MARINE 69,156.475000,FM
MARINE 71,156.575000,FM
MARINE 72,156.625000,FM
ACE ROAD,160.995000,NFM
AAR 08,160.230000,NFM
AAR 14,160.320000,NFM
AAR 17,160.365000,NFM
AAR 32,160.590000,NFM
AAR 36,160.650000,NFM
AAR 45,160.785000,NFM
AAR 55,160.935000,NFM
AAR 57,160.965000,NFM
AAR 64,161.070000,NFM
AAR 66,161.100000,NFM
AAR 69,161.145000,NFM
RAIL POLICE,161.205000,NFM
AAR 84,161.370000,NFM
CHP WHT3 B,44.920000,FM
CHP WHT3 M,42.320000,FM
